CustID,Marital_Status,Education,Kidhome,Teenhome,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Income,Age,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumAppPurchases,NumStorePurchases,NumWebVisitsMonth,MntTotal,MntRegularProds,AcceptedCmpOverall,Response
2457,Single,Bachelors,No,No,0,0,0,0,0,0,58138,NA,58,635,88,546,172,88,88,3,8,10,4,7,1529,1441,0,1
2458,Single,Bachelors,Yes,Yes,0,0,0,0,0,0,46344,66,38,11,1,6,2,1,6,2,1,1,2,5,21,15,0,0
2459,Together,Bachelors,No,No,0,0,0,0,0,0,71613,55,26,426,49,127,111,21,42,1,8,2,10,4,734,692,0,0
2460,Together,Bachelors,Yes,No,0,0,0,0,0,0,26646,36,26,11,4,20,10,3,5,2,2,0,4,6,48,43,0,0
2461,Married,PhD,Yes,No,0,0,0,0,0,0,58293,39,94,173,43,118,46,27,15,5,5,3,6,5,407,392,0,0
2462,Together,Masters,No,Yes,0,0,0,0,0,0,62513,53,16,520,42,98,0,42,14,2,6,4,10,6,702,688,0,0
2463,Divorced,Bachelors,No,Yes,0,0,0,0,0,0,55635,49,34,235,65,164,50,49,27,4,7,3,7,6,563,536,0,0
2464,Married,PhD,Yes,No,0,0,0,0,0,0,33454,35,32,76,10,56,3,1,23,2,4,0,4,8,146,123,0,0
2465,Together,PhD,Yes,No,0,0,0,0,0,0,30351,46,19,14,0,24,3,3,2,1,3,0,2,9,44,42,0,1
2466,Together,PhD,Yes,Yes,1,0,0,0,0,0,NA,70,68,28,0,6,1,1,13,1,1,0,0,20,36,23,NA,0
2467,Married,HighSchool,No,No,1,0,0,0,0,0,NA,NA,59,6,16,11,11,1,16,1,2,0,3,8,45,29,0,0
2468,Divorced,Bachelors,No,No,0,0,0,0,0,0,NA,61,82,194,61,480,225,112,30,1,3,4,8,2,1072,1042,0,0
2469,Divorced,Masters,Yes,Yes,0,0,0,0,0,0,NA,68,53,233,2,53,3,5,14,3,6,1,5,6,296,282,0,0
